threshold	decision_strategy	sample_size	setting_id	delta_above0	p_above50	p_above55	p_above60	p_above65	p_above70	p_above75	p_above80	p_above85	p_above90	p_above95
0.26	phat1	500	2	0.853	0.856	0.82	0.796	0.752	0.703	0.644	0.578	0.515	0.424	0.304
0.27	phat1	500	2	0.857	0.861	0.832	0.797	0.758	0.713	0.655	0.596	0.52	0.43	0.303
0.28	phat1	500	2	0.863	0.865	0.84	0.799	0.757	0.716	0.655	0.602	0.528	0.436	0.305
0.29	phat1	500	2	0.87	0.871	0.849	0.823	0.781	0.734	0.676	0.6	0.551	0.441	0.31
0.3	phat1	500	2	0.869	0.872	0.853	0.824	0.787	0.737	0.674	0.616	0.545	0.446	0.312
1e-9	phat1	1000	3	0	0	0	0	0	0	0	0	0	0	0
0.01	phat1	1000	3	0	0	0	0	0	0	0	0	0	0	0
0.02	phat1	1000	3	0	0.014	0.002	0	0	0	0	0	0	0	0
0.03	phat1	1000	3	0.373	0.479	0.404	0.355	0.32	0.27	0.208	0.104	0.019	0	0
0.04	phat1	1000	3	0.599	0.661	0.607	0.559	0.496	0.411	0.355	0.299	0.226	0.137	0.072
0.05	phat1	1000	3	0.732	0.764	0.725	0.683	0.626	0.57	0.504	0.427	0.346	0.232	0.126
0.06	phat1	1000	3	0.807	0.831	0.795	0.758	0.71	0.663	0.598	0.521	0.435	0.328	0.199
0.07	phat1	1000	3	0.855	0.867	0.84	0.814	0.774	0.716	0.663	0.586	0.498	0.397	0.262
0.08	phat1	1000	3	0.883	0.895	0.864	0.841	0.802	0.753	0.709	0.638	0.555	0.458	0.306
0.09	phat1	1000	3	0.89	0.894	0.866	0.84	0.812	0.773	0.724	0.656	0.575	0.478	0.318
0.1	phat1	1000	3	0.901	0.904	0.881	0.855	0.821	0.783	0.719	0.661	0.592	0.497	0.354
0.11	phat1	1000	3	0.902	0.901	0.884	0.851	0.812	0.781	0.731	0.67	0.607	0.511	0.361
0.12	phat1	1000	3	0.893	0.895	0.877	0.84	0.81	0.766	0.731	0.667	0.605	0.525	0.382
0.13	phat1	1000	3	0.894	0.894	0.872	0.842	0.807	0.769	0.734	0.687	0.623	0.528	0.389
0.14	phat1	1000	3	0.901	0.902	0.881	0.847	0.819	0.781	0.736	0.68	0.613	0.526	0.382
0.15	phat1	1000	3	0.907	0.908	0.889	0.854	0.827	0.788	0.739	0.689	0.623	0.527	0.397
0.16	phat1	1000	3	0.915	0.916	0.892	0.861	0.836	0.795	0.754	0.695	0.635	0.537	0.386
0.17	phat1	1000	3	0.91	0.91	0.888	0.866	0.841	0.799	0.762	0.697	0.624	0.531	0.374
0.18	phat1	1000	3	0.91	0.911	0.887	0.861	0.836	0.79	0.75	0.692	0.615	0.533	0.405
0.19	phat1	1000	3	0.907	0.907	0.889	0.858	0.829	0.786	0.742	0.69	0.619	0.541	0.414
0.2	phat1	1000	3	0.92	0.921	0.896	0.861	0.83	0.782	0.753	0.697	0.635	0.544	0.418
0.21	phat1	1000	3	0.918	0.919	0.905	0.877	0.845	0.807	0.766	0.72	0.644	0.553	0.431
0.22	phat1	1000	3	0.931	0.93	0.907	0.889	0.86	0.815	0.767	0.723	0.664	0.575	0.439
0.23	phat1	1000	3	0.939	0.939	0.915	0.892	0.863	0.821	0.787	0.738	0.669	0.581	0.441
0.24	phat1	1000	3	0.937	0.937	0.916	0.899	0.873	0.84	0.809	0.757	0.691	0.588	0.463
0.25	phat1	1000	3	0.94	0.94	0.93	0.913	0.881	0.858	0.804	0.764	0.696	0.602	0.467
0.26	phat1	1000	3	0.946	0.947	0.929	0.917	0.887	0.862	0.825	0.774	0.709	0.613	0.482
0.27	phat1	1000	3	0.946	0.947	0.929	0.915	0.903	0.877	0.838	0.797	0.734	0.64	0.498
0.28	phat1	1000	3	0.951	0.952	0.936	0.922	0.908	0.886	0.859	0.806	0.744	0.656	0.513
0.29	phat1	1000	3	0.949	0.951	0.937	0.926	0.906	0.887	0.864	0.821	0.767	0.679	0.541
0.3	phat1	1000	3	0.957	0.957	0.948	0.933	0.913	0.886	0.865	0.832	0.768	0.69	0.557
