"pred","outcome"
0.0678428189,1
0.3809893479,1
0.0135187949,0
0.0161080913,0
0.9903076537,1
0.1702767001,0
0.03108238,0
0.0185329425,0
0.00264536439999996,0
0.0828185075,0
0.2716348222,0
0.00164413060000002,0
0.1064753954,0
0.2131167085,0
0.1937794536,0
0.00257629619999999,0
0.0356592596,0
0.00658267530000001,0
0.00202603550000002,0
0.00649093720000005,0
0.0119923063,0
0.00292267499999999,0
0.0141757152,0
0.00895949959999998,0
0.1105476141,0
0.0183295016,0
0.9946812103,1
0.9797188121,1
0.7810921496,1
0.00627531449999996,0
0.1647812727,0
0.1133259116,1
0.0392994897,0
0.0496312907999999,0
0.6786691877,1
0.2442986334,0
0.0326756448,0
0.00127406370000005,0
0.00985748509999995,0
0.0124037647,0
0.0545790076,0
0.0132261471,0
0.0438037999000001,0
0.9089749413,1
0.012831582,1
0.866171593,0
0.8410213916,0
0.9624696141,1
0.0131445591,0
0.3467817193,1
0.0114992444999999,0
0.1901407615,0
0.964308291,1
0.4338685775,1
0.1062293344,0
0.8067754861,1
0.5157027469,1
0.5495383828,0
0.3817260008,0
0.0634170055,0
0.9826811538,1
0.4525016225,1
0.000968995599999967,0
0.2994949544,1
0.0160849287,0
0.5354277048,1
0.9962720068,1
0.00469303489999995,0
0.8543102899,1
0.3121031355,1
0.00799149769999996,0
0.0136567292999999,0
0.7637358758,0
0.6677885261,1
0.0223254248,0
0.0518860757,0
0.0372056443,0
0.0208521677,0
0.3234232281,0
0.0221496814,0
0.0152404054,0
0.0227671173,0
0.2030640138,1
0.2261968275,1
0.9759341877,1
0.6062215785,0
0.4682800629,0
0.0298792036,0
0.0145745217,0
0.0194438938,0
0.3918561326,0
0.0463343914,0
0.0187856996,0
0.0271272677,0
0.028000396,0
0.0118616685,0
0.6381376617,1
0.00763760599999996,0
0.00373267980000003,0
0.5105187605,0
0.8798083626,0
0.027876212,0
0.0385592009,0
0.0295615592,1
0.0481721786,0
0.0212644938,0
0.00410114959999996,0
0.6591987323,1
0.0391387701,0
0.0128267511,0
0.0348904903,0
0.7695824931,1
0.5728122262,1
0.4626506631,1
0.5596117148,1
0.0207448968,0
0.021932518,0
0.0450552711,0
0.8344003805,0
0.0189164959,0
0.0760877353,0
0.4751144077,1
0.0364247,0
0.8882507161,1
0.1219874062,0
0.00295637299999996,0
0.051736759,0
0.6183855671,0
0.0706883421,0
0.0351929651,0
0.4291667888,1
0.010631352,0
0.418406235,0
0.00707057489999996,0
0.7545454549,1
0.0270948312,0
0.2923315611,0
0.0367840574,0
0.0468601277,0
0.0507893776,0
0.0322705784,0
0.0362463169,0
0.3977962464,1
0.0305724707,0
0.5394512977,0
0.2122168197,0
0.0183175925,0
0.0148413622,0
0.0425854038,0
0.0676628947,0
0.0366446945,0
0.0278375526,0
0.7327471484,0
0.039445058,0
0.341635219,0
0.8730365675,1
0.2815942235,1
0.9637614929,1
0.6804852948,1
0.0512767087,0
0.0176556328,0
0.0954714117,0
0.041170652,0
0.476329554,0
0.9877000069,1
0.9671370625,1
0.00539154409999998,0
0.9503955892,1
0.2729796388,1
0.0276228645,0
0.0416946656,0
0.0518085141,0
0.0313128665,0
0.0304129033,0
0.00264345349999995,0
0.0133026935,0
0.982433639,1
0.9746494482,1
0.0395040289,0
0.0755772567,0
0.679353042,1
0.9116531594,1
0.9657552554,1
0.8674770316,0
0.0959030394,0
0.374411264,0
0.9425581934,1
0.0246704891,0
0.2074645467,0
0.5121450865,1
0.1656930136,1
0.9586047528,1
0.9648296047,1
0.9656501147,1
0.9881727161,1
0.5049475927,1
0.4660223231,1
0.3733841682,1
0.9076417783,1
0.9479212019,1
0.9614741649,1
0.8220518151,1
0.6172375259,1
0.0296919495,1
0.4141765698,1
0.9845561463,1
0.8830873283,0
0.1256306085,0
0.3005971412,0
0.9813196717,1
0.0223254248,0
0.4877065178,1
0.8889066533,1
0.8190120005,0
0.5828422058,1
0.7946787526,1
0.7469602741,1
0.4923008692,1
0.3165347647,0
0.2349372972,0
0.5028041206,0
0.1428904123,0
0.7329102674,1
0.0319835268000001,0
0.00765171870000003,0
0.8346564319,1
0.7365989505,1
0.6306065845,1
0.1954936067,0
0.0221730464,0
0.9797433225,1
0.8502229431,1
0.6049402879,0
0.5895096832,1
0.4405452749,1
0.5689311756,1
0.9602935411,1
0.5216043532,1
0.9900167884,1
0.1613926419,0
0.6001646429,1
0.8309748493,1
0.5437394376,1
0.1695967771,0
0.0643123479,0
0.3391963279,0
0.2262595753,0
0.6558182643,1
0.6840358868,0
0.2653606098,0
0.3922419122,0
0.0988165237,0
0.1820265862,0
0.989520912,1
0.2199169808,0
0.9706575669,1
0.9892931452,1
0.7193086449,0
0.9222101182,1
0.4140875566,1
